NNLDESC,ClusterTitle,PathTitle,SOCTITLE,SOCCODE,EntryWage,MeanWage,Skills Required
NOW,Transportation and Logistics,Procurement and Sales,Counter and Rental Clerks,41-2021,21130,32380,"Point-of-sale operation, customer service, organization, communication  "
NOW,Transportation and Logistics,Procurement and Sales,Telemarketers,41-9041,17980,23520,"Telemarketing, communication, persuasion, resilience  "
NOW,Transportation and Logistics,Procurement and Sales,Customer Service Representatives,43-4051,25850,34530,"Customer service, problem-solving, communication, patience  "
NOW,Transportation and Logistics,Procurement and Sales,Driver/Sales Workers,53-3031,19010,29190,"Sales, driving, customer service, time management  "
NEXT,Transportation and Logistics,Procurement and Sales,First-Line Supervisors of Non-Retail Sales Workers,41-1012,49660,71560,"Sales leadership, team management, negotiation, goal-setting  "
LATER,Transportation and Logistics,Procurement and Sales,Sales Managers,Nov-22,76040,133120,"Sales strategy, business development, leadership, CRM software  "
LATER,Transportation and Logistics,Procurement and Sales,Purchasing Managers,Nov-61,105080,143470,"Procurement, negotiation, supply chain management, financial acumen  "
LATER,Transportation and Logistics,Procurement and Sales,"Sales Rep., Wholesale & Manufacturing, Technical & Scientific Products",41-4011,54250,84320,"Sales, technical knowledge, relationship management, persuasion  "
NOW,Transportation and Logistics,Transportation,Light Truck or Delivery Services Drivers,53-3033,23410,35060,"Delivery driving, logistics, customer service, time management  "
NEXT,Transportation and Logistics,Transportation,Automotive Service Technicians and Mechanics,49-3023,30220,41900,"Automotive repair, diagnostics, mechanical skills, problem-solving  "
NEXT,Transportation and Logistics,Transportation,Bus & Truck Mechanics & Diesel Engine Specialists,49-3031,33860,43860,"Diesel engine repair, troubleshooting, vehicle maintenance, teamwork  "
NEXT,Transportation and Logistics,Transportation,Aircraft Cargo Handling Supervisors,53-1011,38580,48520,"Cargo handling, safety procedures, leadership, logistics  "
NEXT,Transportation and Logistics,Transportation,Airfield Operations Specialists,53-2022,31530,41920,"Airfield operations, communication, FAA regulations, safety management  "
NEXT,Transportation and Logistics,Transportation,Heavy and Tractor-Trailer Truck Drivers,53-3032,33120,43480,"Truck driving, logistics, time management, road safety  "
NEXT,Transportation and Logistics,Transportation,Locomotive Engineers,53-4011,56750,68670,"Train operation, safety procedures, mechanical skills, focus  "
NOW,Transportation and Logistics,Warehousing and Distribution,Order Clerks,43-4151,23780,32450,"Order processing, inventory management, data entry, accuracy  "
NOW,Transportation and Logistics,Warehousing and Distribution,Cargo and Freight Agents,43-5011,35960,43970,"Freight coordination, logistics, documentation, customer service  "
NOW,Transportation and Logistics,Warehousing and Distribution,"Shipping, Receiving, and Traffic Clerks",43-5071,26180,33990,"Shipping, receiving, inventory control, attention to detail  "
NOW,Transportation and Logistics,Warehousing and Distribution,Stock Clerks and Order Fillers,43-5081,20000,26680,"Stock management, order fulfillment, warehouse operations, organization  "
NOW,Transportation and Logistics,Warehousing and Distribution,Conveyor Operators and Tenders,53-7011,29430,35700,"Conveyor system operation, equipment maintenance, attention to detail  "
NOW,Transportation and Logistics,Warehousing and Distribution,Industrial Truck and Tractor Operators,53-7051,26530,34360,"Forklift operation, warehouse safety, logistics, teamwork  "
NOW,Transportation and Logistics,Warehousing and Distribution,"Laborers and Freight, Stock, and Material Movers, Hand",53-7062,22430,29750,"Material handling, warehouse operations, physical stamina, teamwork  "
NOW,Transportation and Logistics,Warehousing and Distribution,"Packers and Packagers, Hand",53-7064,19620,25870,"Packing, quality control, attention to detail, efficiency  "
NEXT,Transportation and Logistics,Warehousing and Distribution,"Bookkeeping, Accounting, and Auditing Clerks",43-3031,28720,37800,"Accounting, bookkeeping, financial reporting, data entry  "
LATER,Transportation and Logistics,Warehousing and Distribution,Logisticians,13-1081,54470,76570,"Logistics, supply chain management, inventory analysis, planning  "
NEXT,Energy,Production,"Welders, Cutters, Solderers, and Brazers",51-4121,30100,38730,"Welding, metal fabrication, blueprint reading, precision  "
NEXT,Transportation and Logistics,Transportation,"Dispatchers, Except Police, Fire, and Ambulance",43-5032,31750,43550,"Dispatching, scheduling, communication, problem-solving  "
NEXT,Health Care,Business Operations,Billing and Posting Clerks,43-3021,29020,35750,"Medical billing, coding, financial transactions, customer service  "
NEXT,Advanced Manufacturing,Production,Structural Metal Fabricators and Fitters,51-2041,30680,37820,"Metal fabrication, blueprint reading, cutting techniques, teamwork  "
NEXT,Hospitality,Administrative and Support Services,"Secretaries & Administrative Assistants, Except Legal, Medical, & Executive",43-6014,25610,33590,"Administrative support, organization, communication, office software  "
NEXT,Bioscience,Production,"Mixing and Blending Machine Setters, Operators, and Tenders",51-9023,32260,41680,"Machine operation, mixing processes, quality control, safety compliance  "
NEXT,Hospitality,Sales and Marketing,Merchandise Displayers and Window Trimmers,27-1026,23180,28590,"Visual merchandising, creativity, display design, marketing  "
NEXT,Transportation and Logistics,Procurement and Sales,Parts Salespersons,41-2022,21670,31750,"Auto parts sales, inventory management, customer service, communication  "
NEXT,Education,Professional Services,Community Health Workers,21-1094,30730,38280,"Community outreach, health education, communication, advocacy  "
NEXT,Transportation and Logistics,Warehousing and Distribution,"Production, Planning, and Expediting Clerks",43-5061,35550,48140,"Production planning, scheduling, coordination, problem-solving  "
NEXT,Energy,Production,"Coil Winders, Tapers, and Finishers",51-2021,25980,34560,"Machine operation, coil winding, attention to detail, troubleshooting  "
NEXT,Health Care,Diagnostic and Therapeutic,Occupational Therapy Aides,31-2012,19020,28550,"Patient care, therapy support, organization, empathy  "
NEXT,Hospitality,Sales and Marketing,"Sales Representatives, Services, All Other",41-3099,31820,52940,"Sales, negotiation, client management, marketing  "
NEXT,Education,Administrative and Business Support Services,Bill and Account Collectors,43-3011,25390,32820,"Debt collection, communication, negotiation, financial literacy  "
NEXT,Construction,Skilled Trades,Drywall and Ceiling Tile Installers,47-2081,31540,43450,"Drywall installation, construction safety, measurement, teamwork  "
NEXT,Transportation and Logistics,Transportation,"Railroad Brake, Signal, and Switch Operators",53-4021,47360,61450,"Railroad operations, safety compliance, signaling, troubleshooting  "
NEXT,Financial and Professional,Financial and Insurance Services,Loan Interviewers and Clerks,43-4131,28150,38010,"Loan processing, financial documentation, customer service, accuracy  "
NEXT,Advanced Manufacturing,Business Operations & Sales,"Secretaries & Administrative Assistants, Except Legal, Medical, & Executive",43-6014,25610,33590,"Administrative support, office management, communication, organization  "
NEXT,Financial and Professional,Sales and Marketing,"Sales Representatives, Services, All Other",41-3099,31820,52940,"Sales, client relations, business development, negotiation  "
NEXT,Advanced Manufacturing,Production,Chemical Equipment Operators and Tenders,51-9011,29350,40680,"Chemical equipment operation, safety compliance, quality control, precision  "
NEXT,Education,Professional Services,Social and Human Service Assistants,21-1093,20440,28120,"Social services, case management, community support, problem-solving  "
NEXT,Bioscience,Animal Sciences,"Farmers, Ranchers & Other Ag. Managers",Nov-13,39680,59740,"Farm management, crop production, livestock care, agribusiness  "
NEXT,Health Care,Diagnostic and Therapeutic,Social and Human Service Assistants,21-1093,20440,28120,"Social services, counseling, case management, advocacy  "
NEXT,Energy,Production,"Computer-Controlled Machine Tool Operators, Metal and Plastic",51-4011,31740,39790,"CNC machining, blueprint reading, problem-solving, attention to detail  "
NEXT,Hospitality,Entertainment,Dancers,27-2031,0,0,"Dance performance, choreography, physical fitness, stage presence  "
NEXT,Advanced Manufacturing,Production,"Lathe & Turning Machine Tool Setters, Operators, & Tenders, Metal & Plastic",51-4034,29200,40400,"Lathe operation, precision machining, metalworking, technical skills  "
NEXT,Financial and Professional,Business Operations,"Secretaries & Administrative Assistants, Except Legal, Medical, & Executive",43-6014,25610,33590,"Organization, Communication, Microsoft Office, Scheduling"
NEXT,Education,Administrative and Business Support Services,"Secretaries & Administrative Assistants, Except Legal, Medical, & Executive",43-6014,25610,33590,"Organization, Communication, Microsoft Office, Scheduling"
NEXT,Hospitality,Food Service,"Cooks, All Other",35-2019,18740,28220,"Cooking, Food Safety, Knife Skills, Time Management"
NEXT,Advanced Manufacturing,Production,"Computer-Controlled Machine Tool Operators, Metal and Plastic",51-4011,31740,39790,"CNC Programming, Blueprint Reading, Machine Operation, Quality Control"
NEXT,Hospitality,Food Service,Chefs and Head Cooks,35-1011,31060,44800,"Culinary Arts, Menu Planning, Leadership, Food Safety"
NEXT,Health Care,Diagnostic and Therapeutic,Pharmacy Technicians,29-2052,24850,30610,"Pharmaceutical Knowledge, Customer Service, Attention to Detail, Math"
NEXT,Advanced Manufacturing,Production,"Cutting, Punching & Press Machine Setters, Oper. & Tenders, Metal & Plastic",51-4031,26860,33860,"Machine Operation, Blueprint Reading, Quality Control, Safety Procedures"
NEXT,Financial and Professional,Financial and Insurance Services,"Title Examiners, Abstractors, and Searchers",23-2093,34060,49240,"Research, Attention to Detail, Legal Knowledge, Data Entry"
NEXT,Energy,Production,Structural Metal Fabricators and Fitters,51-2041,30680,37820,"Welding, Blueprint Reading, Fabrication, Safety Compliance"
NEXT,Financial and Professional,Legal Services,Legal Secretaries,43-6012,30480,41730,"Legal Terminology, Document Preparation, Organization, Communication"
NEXT,Transportation and Logistics,Transportation,Railroad Conductors and Yardmasters,53-4031,52730,64170,"Logistics, Safety Compliance, Communication, Leadership"
NEXT,Bioscience,Production,Packaging and Filling Machine Operators & Tenders,51-9111,24310,32670,"Machine Operation, Quality Control, Attention to Detail, Safety Procedures"
NEXT,Bioscience,Animal Sciences,Veterinary Assistants & Lab. Animal Caretakers,31-9096,19770,24680,"Animal Handling, Medical Knowledge, Cleaning and Sanitizing, Compassion"
NEXT,Financial and Professional,Sales and Marketing,New Accounts Clerks,43-4141,25570,30810,"Customer Service, Data Entry, Banking Knowledge, Attention to Detail"
NEXT,Bioscience,Research and Development,"Inspectors, Testers, Sorters, Samplers & Weighers",51-9061,29530,40330,"Quality Control, Testing Procedures, Data Analysis, Attention to Detail"
NEXT,Transportation and Logistics,Procurement and Sales,"Sales Rep., Wholesale & Manufacturing, Except Tech. & Scientific Products",41-4012,37930,63700,"Sales, Negotiation, Customer Service, Product Knowledge"
NEXT,Construction,Skilled Trades,Supervisors of Construction and Extraction Workers,47-1011,51730,71550,"Project Management, Leadership, Safety Compliance, Blueprint Reading"
NEXT,Advanced Manufacturing,Business Operations & Sales,"Sales Rep., Wholesale & Manufacturing, Except Tech. & Scientific Products",41-4012,37930,63700,"Sales, Negotiation, Customer Service, Product Knowledge"
NEXT,Financial and Professional,Business Operations,Payroll and Timekeeping Clerks,43-3051,29400,39250,"Payroll Software, Data Entry, Accounting, Attention to Detail"
NEXT,Bioscience,Production,"Maintenance Workers, Machinery",49-9043,37870,46740,"Machine Repair, Preventive Maintenance, Troubleshooting, Mechanical Knowledge"
NEXT,Transportation and Logistics,Procurement and Sales,Procurement Clerks,43-3061,32480,39220,"Procurement, Data Entry, Inventory Management, Vendor Coordination"
NEXT,Education,Administrative and Business Support Services,Payroll and Timekeeping Clerks,43-3051,29400,39250,"Payroll Processing, Data Entry, Accounting, Compliance"
NEXT,Advanced Manufacturing,Production,"Extruding & Drawing Machine Setters, Operators, & Tenders, Metal & Plastic",51-4021,27610,34620,"Machine Operation, Blueprint Reading, Quality Control, Safety Procedures"
NEXT,Education,Professional Services,Residential Advisors,39-9041,22220,28470,"Conflict Resolution, Communication, Problem-Solving, Organization"
NEXT,Construction,Skilled Trades,Operating Engineers and Other Construction Equipment Operators,47-2073,36860,54140,"Heavy Equipment Operation, Safety Compliance, Blueprint Reading, Earthmoving"
NEXT,Hospitality,Administrative and Support Services,Concierges,39-6012,21250,25240,"Customer Service, Multitasking, Local Knowledge, Problem-Solving"
NEXT,Transportation and Logistics,Transportation,"Trans., Storage, and Distribution Managers",Nov-71,68310,96580,"Logistics, Inventory Management, Leadership, Supply Chain Management"
NEXT,Hospitality,Entertainment,"Umpires, Referees, and Other Sports Officials",27-2023,18420,29880,"Rule Enforcement, Decision-Making, Physical Stamina, Communication"
NEXT,Advanced Manufacturing,Production,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",51-9121,26750,35210,"Painting Techniques, Machine Operation, Quality Control, Safety Procedures"
NEXT,Advanced Manufacturing,Production,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4081,27870,34440,"Machine Operation, Blueprint Reading, Quality Control, Mechanical Aptitude"
NEXT,Financial and Professional,Financial and Insurance Services,Brokerage Clerks,43-4011,36490,45640,"Financial Analysis, Record Keeping, Data Entry, Compliance"
NEXT,Advanced Manufacturing,Engineering and Maintenance,"Maintenance Workers, Machinery",49-9043,37870,46740,"Machine Repair, Preventive Maintenance, Troubleshooting, Mechanical Knowledge"
NEXT,Health Care,Business Operations,Medical Secretaries,43-6013,26520,33030,"Medical Terminology, Scheduling, Organization, Confidentiality"
NEXT,Construction,Skilled Trades,Cement Masons and Concrete Finishers,47-2051,37040,53000,"Concrete Finishing, Blueprint Reading, Measuring, Safety Compliance"
NEXT,Energy,Engineering and Quality Control,Surveying and Mapping Technicians,17-3031,32270,41460,"Surveying, GIS Software, Mapping, Data Collection"
NEXT,Advanced Manufacturing,Production,Engine and Other Machine Assemblers,51-2031,34070,40350,"Assembly, Blueprint Reading, Mechanical Skills, Quality Control"
NEXT,Energy,Production,Engine and Other Machine Assemblers,51-2031,34070,40350,"Assembly, Blueprint Reading, Mechanical Skills, Quality Control"
NEXT,Transportation and Logistics,Transportation,Commercial Pilots,53-2012,61310,85060,"Flight Operations, Navigation, Safety Compliance, Communication"
NEXT,Health Care,Diagnostic and Therapeutic,Community Health Workers,21-1094,30730,38280,"Community Outreach, Health Education, Communication, Problem-Solving"
NEXT,Construction,Engineering and Quality Control,"Inspectors, Testers, Sorters, Samplers & Weighers",51-9061,29530,40330,"Inspection, Quality Control, Testing Procedures, Compliance"
NEXT,Bioscience,Production,"Sep., Filtering, Clarifying, Precipitating Still Mach. Set., Oper. & Tend.",51-9012,32220,39580,"Machine Operation, Quality Control, Safety Procedures, Attention to Detail"
NEXT,Construction,Skilled Trades,Roofers,47-2181,32950,46110,"Roofing Installation, Blueprint Reading, Safety Compliance, Physical Stamina"
NEXT,Financial and Professional,Financial and Insurance Services,Tax Preparers,13-2082,24760,41020,"Tax Law Knowledge, Accounting, Data Entry, Attention to Detail"
NEXT,Transportation and Logistics,Warehousing and Distribution,"Trans., Storage, and Distribution Managers",Nov-71,68310,96580,"Logistics, Inventory Management, Leadership, Supply Chain Management"
NEXT,Construction,Engineering and Quality Control,Construction and Building Inspectors,47-4011,41810,51400,"Building Codes, Inspection, Report Writing, Safety Compliance"
NEXT,Advanced Manufacturing,Production,Packaging and Filling Machine Operators & Tenders,51-9111,24310,32670,"Machine Operation, Quality Control, Packaging, Attention to Detail"
NEXT,Energy,Engineering and Quality Control,"Inspectors, Testers, Sorters, Samplers & Weighers",51-9061,29530,40330,"Inspection, Quality Control, Testing Procedures, Compliance"
NEXT,Hospitality,Entertainment,Musicians and Singers,27-2042,0,0,"Musical Talent, Performance Skills, Creativity, Discipline"
NEXT,Energy,Production,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4081,27870,34440,"Machine Operation, Blueprint Reading, Quality Control, Mechanical Aptitude"
NEXT,Advanced Manufacturing,Production,"Welders, Cutters, Solderers, and Brazers",51-4121,30100,38730,"Welding, Cutting, Soldering, Brazing"
NEXT,Hospitality,Sales and Marketing,Advertising Sales Agents,41-3011,25310,46210,"Sales, Negotiation, Marketing, Customer Service"
NEXT,Financial and Professional,Financial and Insurance Services,Insurance Claims and Policy Processing Clerks,43-9041,29800,41990,"Insurance Policies, Claims Processing, Data Entry, Attention to Detail"
NEXT,Hospitality,Entertainment,Actors,27-2011,0,0,"Acting Skills, Creativity, Script Interpretation, Improvisation"
NEXT,Financial and Professional,Business Operations,Billing and Posting Clerks,43-3021,29020,35750,"Billing, Accounting, Data Entry, Attention to Detail"
NEXT,Financial and Professional,Financial and Insurance Services,"Credit Authorizers, Checkers, and Clerks",43-4041,29050,35720,"Credit Analysis, Risk Assessment, Financial Data Entry, Attention to Detail"
NEXT,Advanced Manufacturing,Production,"Grind., Lap., Polish. & Buff. Mach. Tool Set., Oper. & Tend., Met. & Plast.",51-4033,27790,37370,"Machine Operation, Precision Work, Quality Control, Safety Compliance"
NEXT,Advanced Manufacturing,Production,"Molding, Coremaking & Casting Machine Set., Oper. & Tend., Metal & Plastic",51-4072,22570,29070,"Molding Processes, Machine Operation, Safety Compliance, Attention to Detail"
NEXT,Financial and Professional,Business Operations,Bill and Account Collectors,43-3011,25390,32820,"Debt Collection, Communication, Negotiation, Data Entry"
NEXT,Financial and Professional,Sales and Marketing,Advertising Sales Agents,41-3011,25310,46210,"Sales, Negotiation, Marketing, Customer Service"
NEXT,Construction,Skilled Trades,"Welders, Cutters, Solderers, and Brazers",51-4121,30100,38730,"Welding, Cutting, Soldering, Brazing"
NEXT,Bioscience,Production,Chemical Equipment Operators and Tenders,51-9011,29350,40680,"Chemical Handling, Equipment Operation, Safety Compliance, Quality Control"
NEXT,Construction,Skilled Trades,"Painters, Construction and Maintenance",47-2141,35560,50240,"Painting Techniques, Surface Preparation, Safety Compliance, Physical Stamina"
NEXT,Construction,Skilled Trades,"Paving, Surfacing, and Tamping Equipment Operators",47-2071,34520,50060,"Paving Equipment Operation, Safety Procedures, Surface Preparation, Attention to Detail"
NEXT,Advanced Manufacturing,Production,"Extruding, Forming, Pressing & Compacting Machine Setters, Oper. & Tenders",51-9041,29670,35930,"Machine Operation, Material Forming, Safety Compliance, Attention to Detail"
NOW,"Science, Technology, Engineering & Math (STEM)",Physical & Earth Sciences,Geologists & Geophysicists,19-2042,55000,91250,"Geological Mapping, Data Analysis, Fieldwork, GIS Software"
NEXT,"Science, Technology, Engineering & Math (STEM)",Environmental & Natural Resources,Environmental Scientists,19-2041,48000,82000,"Environmental Research, Data Analysis, Compliance, GIS Software"
NEXT,"Science, Technology, Engineering & Math (STEM)",Research & Development,Research Scientists,19-2099,52000,92000,"Scientific Research, Data Analysis, Experimentation, Report Writing"
LATER,"Science, Technology, Engineering & Math (STEM)",Academia & Education,University Professors (Geology/Earth Sciences),25-1054,57000,95000,"Teaching, Research, Public Speaking, Writing"
LATER,"Science, Technology, Engineering & Math (STEM)",Energy & Resources,Petroleum Engineers,17-2171,80000,137720,"Petroleum Engineering, Reservoir Simulation, Drilling Techniques, Data Analysis"
NOW,"Science, Technology, Engineering & Math (STEM)",Physical & Earth Sciences,Astronomers,19-2011,62000,125450,"Astronomical Research, Data Analysis, Observational Techniques, Computational Modeling"
NEXT,"Science, Technology, Engineering & Math (STEM)",Physical & Earth Sciences,Atmospheric & Space Scientists,19-2021,58000,100550,"Weather Analysis, Climate Modeling, Data Interpretation, Meteorology"
NEXT,"Science, Technology, Engineering & Math (STEM)",Research & Development,Research Scientists,19-2099,55000,98000,"Scientific Research, Experimentation, Data Analysis, Lab Techniques"
LATER,"Science, Technology, Engineering & Math (STEM)",Academia & Education,University Professors (Physics/Astronomy),25-1054,58000,108000,"Teaching, Research, Public Speaking, Curriculum Development"
LATER,"Science, Technology, Engineering & Math (STEM)",Space Exploration,Aerospace Engineers,17-2011,75000,122970,"Aerospace Design, Aerodynamics, CAD Software"
NOW,"Science, Technology, Engineering & Math (STEM)",Physical & Earth Sciences,Marine Geologists,19-2043,48000,85000,"Marine Geology, Fieldwork, GIS Software, Data Analysis"
NEXT,"Science, Technology, Engineering & Math (STEM)",Environmental & Natural Resources,Environmental Scientists,19-2041,46000,78000,"Environmental Research, Compliance, GIS Software, Data Interpretation"
NEXT,"Science, Technology, Engineering & Math (STEM)",Research & Development,Research Scientists,19-2099,50000,92000,"Scientific Research, Experimentation, Data Analysis, Report Writing"
LATER,"Science, Technology, Engineering & Math (STEM)",Academia & Education,University Professors (Marine Science),25-1054,55000,95000,"Teaching, Research, Public Speaking, Writing"
LATER,"Science, Technology, Engineering & Math (STEM)",Energy & Resources,Petroleum Engineers,17-2171,75000,137720,"Petroleum Engineering, Reservoir Simulation, Drilling Techniques, Data Analysis"
NOW,"Science, Technology, Engineering & Math (STEM)",Environmental & Natural Resources,Conservation Scientists,19-1031,40000,69000,"Conservation Planning, Ecology, Land Use Management, GIS Software"
NEXT,"Science, Technology, Engineering & Math (STEM)",Environmental & Natural Resources,Wildlife Biologists,19-1023,42000,71000,"Wildlife Biology, Research, Ecology, Conservation"
NEXT,"Science, Technology, Engineering & Math (STEM)",Environmental & Natural Resources,Environmental Scientists,19-2041,44000,75000,"Environmental Science, Compliance, GIS Software, Report Writing"
LATER,"Science, Technology, Engineering & Math (STEM)",Academia & Education,University Professors (Environmental Science),25-1054,54000,90000,"Teaching, Research, Public Speaking, Writing"
LATER,"Science, Technology, Engineering & Math (STEM)",Environmental & Natural Resources,Environmental Engineers,17-2081,55000,86000,"Environmental Engineering, Compliance, Risk Assessment, Data Analysis"
NOW,"Arts, Design, Entertainment, Sports & Media",Audio & Video Technology,Recording Engineers,27-4011,38000,65000,"Audio Engineering, Sound Mixing, Editing Software, Studio Equipment"
NEXT,"Arts, Design, Entertainment, Sports & Media",Audio & Video Technology,Recording Technicians,27-4014,32000,54000,"Audio Engineering, Sound Mixing, Editing Software, Studio Equipment"
NEXT,"Arts, Design, Entertainment, Sports & Media",Audio & Video Technology,Music Recording Producers,27-2042,35000,58000,"Music Production, Recording, Mixing, Studio Equipment"
LATER,"Arts, Design, Entertainment, Sports & Media",Entertainment & Media Production,Film and Video Recording Editors,27-4032,41000,63000,"Video Editing, Post-Production, Editing Software, Storytelling"
LATER,"Arts, Design, Entertainment, Sports & Media","Arts, Design & Media",Audio and Recording Directors,27-4012,52000,82000,"Audio Engineering, Sound Mixing, Production Management, Acoustics"
NOW,Healthcare Practitioners & Technical,Health Diagnosing & Treating Practitioners,Audiologists,29-1181,65000,85000,"Hearing Assessment, Audiology, Patient Care, Speech-Language Pathology"
NEXT,Healthcare Practitioners & Technical,Health Diagnosing & Treating Practitioners,Speech-Language Pathologists,29-1127,55000,77000,"Speech Therapy, Communication, Patient Assessment, Linguistics"
NEXT,Healthcare Practitioners & Technical,Health Diagnosing & Treating Practitioners,Physical Therapists,29-1123,60000,85000,"Physical Therapy, Patient Assessment, Rehabilitation, Exercise Science"
LATER,Healthcare Practitioners & Technical,Healthcare & Social Assistance,Medical and Health Services Managers,Nov-11,75000,102000,"Healthcare Management, Policy Compliance, Leadership, Financial Management"
LATER,Healthcare Practitioners & Technical,Healthcare & Social Assistance,Healthcare Providers (Private Practice),29-0000,90000,120000,"Healthcare Management, Private Practice, Business Operations, Patient Care"
NOW,"Arts, Design, Entertainment, Sports & Media",Audio & Video Technology,Sound Editors,27-4014,33000,58000,"Sound Editing, Mixing, Post-Production, Acoustics"
NEXT,"Arts, Design, Entertainment, Sports & Media",Audio & Video Technology,Film and Video Editors,27-4032,37000,64000,"Video Editing, Post-Production, Storytelling, Editing Software"
NEXT,"Arts, Design, Entertainment, Sports & Media",Entertainment & Media Production,Post-Production Sound Engineers,27-4013,38000,62000,"Sound Engineering, Mixing, Post-Production, Acoustics"
LATER,"Arts, Design, Entertainment, Sports & Media",Entertainment & Media Production,Audio Directors,27-4012,45000,82000,"Audio Production, Sound Mixing, Team Management, Recording Technology"
LATER,"Arts, Design, Entertainment, Sports & Media","Arts, Design & Media",Sound and Audio Engineering Managers,27-4015,55000,90000,"Sound Engineering, Project Management, Acoustics, Team Leadership"
NOW,Business & Financial Operations,Risk Management & Insurance,Actuary,15-2011,62000,108000,"Risk Analysis, Financial Modeling, Statistics, Actuarial Science"
NEXT,Business & Financial Operations,Risk Management & Insurance,Insurance Underwriters,13-2053,52000,90000,"Underwriting, Risk Assessment, Financial Analysis, Insurance Policies"
NEXT,Business & Financial Operations,Risk Management & Insurance,Financial Analysts,13-2051,58000,93000,"Financial Modeling, Investment Analysis, Risk Management, Data Interpretation"
LATER,Business & Financial Operations,Business & Financial Consulting,Management Analysts,13-1111,64000,100000,"Business Analysis, Strategy Development, Consulting, Market Research"
LATER,Business & Financial Operations,Business & Financial Consulting,Financial Managers,Nov-31,78000,120000,"Financial Management, Business Strategy, Risk Analysis, Budgeting"
NOW,Business & Financial Operations,Accounting & Auditing,Chartered Accountant,13-2011,50000,85000,"Accounting, Auditing, Financial Reporting, Taxation"
NEXT,Business & Financial Operations,Accounting & Auditing,Chartered Management Accountant,13-2011,55000,95000,"Management Accounting, Financial Planning, Budgeting, Cost Control"
NEXT,Business & Financial Operations,Accounting & Auditing,Chartered Financial Analyst,13-2011,52000,90000,"Financial Analysis, Risk Management, Investment Strategies, Excel"
LATER,Business & Financial Operations,Business & Financial Consulting,Chartered Financial Planner,13-2052,65000,115000,"Financial Planning, Investment Strategies, Risk Management, Compliance"
LATER,Business & Financial Operations,Business & Financial Consulting,Chartered Financial Manager,Nov-31,70000,120000,"Financial Strategy, Business Analysis, Corporate Finance, Leadership"
NOW,Computer & Mathematical Occupations,Information Systems & Technology,Computer Systems Analysts,15-1211,60000,90000,"System Analysis, IT Consulting, Business Intelligence, Process Improvement"
NEXT,Computer & Mathematical Occupations,Information Systems & Technology,Computer Systems Analysts,15-1211,65000,105000,"System Analysis, IT Consulting, Business Intelligence, Process Improvement"
NEXT,Computer & Mathematical Occupations,Information Systems & Technology,IT Business Analysts,15-1211,63000,100000,"Business Analysis, IT Consulting, Project Management, Process Improvement"
LATER,Computer & Mathematical Occupations,Software & Applications Development,Software Developers,15-1131,70000,110000,"Software Development, Programming, Application Design, Coding"
LATER,Computer & Mathematical Occupations,Business & Information Technology,Information Technology Managers,Nov-21,75000,120000,"IT Management, Infrastructure Planning, Business Strategy, Leadership"
NOW,Computer & Mathematical Occupations,Database & Information Systems,Database Designers,15-1241,60000,95000,"Database Design, Data Modeling, SQL, System Architecture"
NEXT,Computer & Mathematical Occupations,Database & Information Systems,Database Administrators,15-1242,62000,102000,"Database Administration, SQL, Data Management, Security"
NEXT,Computer & Mathematical Occupations,Database & Information Systems,Data Architects,15-1243,65000,105000,"Data Architecture, Big Data, Cloud Computing, System Design"
LATER,Computer & Mathematical Occupations,Software Development & Design,Software Engineers,15-1131,70000,110000,"Software Development, Programming, Application Design, Coding"
LATER,Computer & Mathematical Occupations,Information Technology & Management,IT Managers,Nov-21,75000,115000,"IT Strategy, Cybersecurity, Leadership, Infrastructure Management"
NOW,Business & Financial Operations,Economic Research & Consulting,Economists,19-3011,60000,105000,"Economic Research, Data Analysis, Policy Evaluation, Market Research"
NEXT,Business & Financial Operations,Economic Research & Consulting,Economists,19-3011,65000,115000,"Economic Research, Data Analysis, Forecasting, Market Trends"
NEXT,Business & Financial Operations,Government & Public Policy,Policy Analysts,19-3091,58000,96000,"Policy Analysis, Government Regulations, Research, Writing"
LATER,Business & Financial Operations,Economic Research & Consulting,Economic Consultants,19-3012,75000,125000,"Economic Consulting, Market Analysis, Financial Forecasting, Risk Assessment"
LATER,Business & Financial Operations,Government & Public Policy,Legislative Analysts,19-3092,70000,110000,"Legislative Analysis, Government Policy, Research, Writing"
NOW,Computer & Mathematical Occupations,Mathematical Science & Research,Mathematicians,15-2021,65000,105000,"Mathematical Modeling, Theoretical Math, Research, Problem-Solving"
NEXT,Computer & Mathematical Occupations,Mathematical Science & Research,Mathematicians,15-2021,70000,115000,"Mathematical Modeling, Theoretical Math, Research, Problem-Solving"
NEXT,Computer & Mathematical Occupations,Applied Mathematics,Operations Research Analysts,15-2031,60000,95000,"Operations Research, Statistical Analysis, Decision Science, Data Optimization"
LATER,Computer & Mathematical Occupations,Mathematical Science & Research,Mathematical Consultants,15-2021,75000,125000,"Mathematical Consulting, Data Analysis, Forecasting, Statistical Modeling"
LATER,Computer & Mathematical Occupations,Mathematical Science & Research,Data Scientists,15-2041,80000,130000,"Data Science, Machine Learning, Statistical Analysis, Python"
NOW,Management & Business Operations,General Management,General Managers,11-1021,65000,120000,"Leadership, Business Strategy, Decision-Making, Operations Management"
